ID,PredictedProb
0,0.16781
1,0.939118
2,0.733315
7,0.548261
10,0.645423
11,0.708753
13,0.951717
14,0.732469
15,0.974165
16,0.849371
17,0.740246
18,0.812115
19,0.981018
20,0.76062
25,0.962558
26,0.819671
29,0.91436
38,0.970704
41,0.95493
44,0.67663
45,0.417528
47,0.838828
48,0.629966
49,0.859014
50,0.832438
53,0.562219
56,0.668632
59,0.923525
60,0.802271
64,0.806528
65,0.969004
66,0.672344
68,0.934918
69,0.695795
70,0.948669
71,0.703276
72,0.657473
76,0.92567
80,0.818289
82,0.634589
83,0.971668
85,0.899623
86,0.823813
87,0.641471
89,0.844291
97,0.933894
99,0.422967
101,0.783994
102,0.0811003
103,0.566224
104,0.494987
106,0.975655
107,0.695671
109,0.956405
111,0.376271
113,0.826411
114,0.558013
118,0.887458
119,0.680275
120,0.943173
123,0.72135
128,0.318413
129,0.96199
131,0.966697
133,0.574133
134,0.864649
136,0.953104
137,0.738284
139,0.761767
140,0.939798
142,0.830482
144,0.839003
146,0.938012
147,0.77608
148,0.909699
150,0.164066
151,0.194523
152,0.970346
155,0.982654
158,0.891264
159,0.66236
160,0.991327
161,0.572683
165,0.9349
166,0.387386
170,0.961454
171,0.831421
174,0.670434
175,0.704479
179,0.823562
180,0.887307
181,0.932669
184,0.689501
185,0.757463
187,0.852876
188,0.862751
190,0.784561
191,0.901285
192,0.610192
193,0.92651
196,0.897413
197,0.46073
198,0.697942
205,0.0664328
211,0.866093
213,0.770389
214,0.850168
217,0.461804
218,0.852603
221,0.843237
222,0.578549
225,0.852276
229,0.695082
236,0.580003
237,0.929223
238,0.844927
239,0.965912
242,0.732085
245,0.918391
246,0.80987
247,0.928007
248,0.991373
254,0.898341
255,0.456912
257,0.979988
259,0.763249
264,0.935616
270,0.639827
272,0.896685
274,0.510685
275,0.334877
278,0.835636
280,0.308202
281,0.20079
282,0.339908
283,0.758731
284,0.982571
286,0.883957
287,0.938029
288,0.954243
289,0.866614
290,0.608202
291,0.803958
294,0.425467
295,0.251852
297,0.592769
299,0.635061
305,0.876409
307,0.619091
308,0.798839
313,0.693142
314,0.728037
315,0.731278
316,0.947743
317,0.894131
319,0.613941
322,0.787523
323,0.872749
324,0.90135
326,0.921969
327,0.874964
329,0.986256
330,0.0486331
331,0.432711
336,0.355127
337,0.478243
338,0.810879
340,0.961448
345,0.32324
347,0.913428
348,0.94381
350,0.992457
352,0.942127
356,0.953114
357,0.940439
358,0.884479
359,0.809567
361,0.796337
363,0.226144
364,0.653548
368,0.912292
376,0.983907
378,0.750504
382,0.796883
384,0.541742
385,0.948355
388,0.177088
389,0.971915
391,0.898162
392,0.764024
395,0.886335
396,0.8655
397,0.809164
399,0.841646
404,0.972354
407,0.444712
409,0.845162
410,0.928975
413,0.625997
414,0.612322
416,0.789445
418,0.62371
419,0.857889
420,0.968004
422,0.939117
423,0.882158
427,0.654541
429,0.989657
430,0.534211
431,0.78281
432,0.80958
433,0.932458
434,0.0543192
436,0.708159
437,0.888485
451,0.717609
452,0.672806
454,0.788104
457,0.894074
458,0.935328
460,0.49183
461,0.967343
462,0.759861
463,0.870964
465,0.950251
467,0.96542
473,0.880668
474,0.971086
480,0.107678
481,0.791636
483,0.881046
484,0.431847
485,0.577528
487,0.938776
490,0.962193
491,0.86626
492,0.508235
496,0.896791
497,0.588604
498,0.843549
499,0.930586
501,0.888458
502,0.922134
503,0.796767
506,0.87842
507,0.720958
508,0.579866
509,0.840768
510,0.813719
511,0.880242
513,0.85217
515,0.963604
521,0.448539
522,0.866784
523,0.923692
525,0.952227
529,0.863717
530,0.700294
531,0.640712
533,0.81392
534,0.642184
535,0.976674
537,0.709245
541,0.685026
542,0.811308
543,0.698414
544,0.842886
545,0.589807
549,0.959815
550,0.899592
551,0.835213
553,0.546226
556,0.86756
558,0.459669
560,0.767005
563,0.534189
564,0.97221
567,0.366072
572,0.615914
573,0.919786
577,0.967341
583,0.880215
584,0.82026
585,0.868144
586,0.760416
588,0.880394
590,0.775329
591,0.654585
593,0.962276
594,0.813794
597,0.856336
598,0.685026
599,0.957424
603,0.89762
604,0.726935
606,0.939428
607,0.484431
609,0.757277
614,0.875921
615,0.89242
616,0.593375
617,0.911451
618,0.861204
619,0.748112
620,0.882153
623,0.677111
625,0.900316
626,0.830013
627,0.85115
632,0.938993
633,0.647622
634,0.882641
635,0.778195
636,0.891134
637,0.93923
638,0.85164
639,0.96395
642,0.544352
643,0.939696
644,0.975436
645,0.12034
646,0.862703
650,0.926409
653,0.573294
654,0.778534
655,0.417468
656,0.905413
657,0.83443
658,0.738133
660,0.409977
661,0.830968
668,0.909896
669,0.750057
671,0.869435
672,0.828049
676,0.936408
678,0.963427
680,0.909196
682,0.901269
684,0.917852
685,0.725858
686,0.665218
687,0.510796
694,0.17614
696,0.742834
697,0.838423
699,0.598819
702,0.982736
707,0.894359
708,0.957815
712,0.976147
717,0.970726
718,0.952197
720,0.65775
721,0.885051
723,0.954284
724,0.743832
727,0.572104
728,0.228346
731,0.945926
733,0.926542
735,0.963508
737,0.829383
738,0.937396
740,0.645722
742,0.985695
743,0.685506
745,0.738271
746,0.950026
747,0.648736
748,0.99711
749,0.878357
750,0.987668
753,0.785392
755,0.826864
756,0.949464
758,0.495716
760,0.71936
762,0.890506
763,0.826463
765,0.966669
767,0.862536
768,0.980413
770,0.619789
772,0.824336
773,0.853514
774,0.867485
775,0.690241
777,0.345517
778,0.93909
780,0.391498
782,0.773562
783,0.9738
786,0.592176
787,0.918369
788,0.81661
789,0.71641
790,0.814186
793,0.743145
795,0.874389
807,0.740602
809,0.725689
810,0.726848
811,0.741705
813,0.317738
815,0.904154
816,0.721445
821,0.905432
823,0.993364
825,0.849503
826,0.84063
827,0.926411
832,0.919042
833,0.784975
834,0.856016
837,0.929447
